Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 307,0.4000,0.3333,0.3636,1.0000,0.6429,0.7826,0.0000,0.0000,0.0000
Ex 308,0.7500,0.6000,0.6667,1.0000,0.7222,0.8387,0.5000,0.2000,0.2857
Ex 309,0.2500,0.2000,0.2222,0.8000,0.4444,0.5714,0.0000,0.0000,0.0000
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000
Ex 311,1.0000,1.0000,1.0000,0.7143,0.5882,0.6452,1.0000,0.6667,0.8000
Ex 312,1.0000,1.0000,1.0000,0.5714,0.4444,0.5000,1.0000,0.5000,0.6667
Ex 313,0.8571,0.8571,0.8571,0.3750,0.3529,0.3636,1.0000,0.5000,0.6667
Ex 314,0.8000,1.0000,0.8889,0.5000,0.2500,0.3333,1.0000,0.6000,0.7500
Ex 315,0.5000,0.5000,0.5000,0.5714,0.3333,0.4211,0.0000,0.0000,0.0000
Ex 316,1.0000,0.8000,0.8889,0.6364,0.4667,0.5385,1.0000,0.5000,0.6667
Ex 317,0.3333,0.5000,0.4000,1.0000,0.6667,0.8000,0.0000,0.0000,0.0000
Ex 318,1.0000,1.0000,1.0000,1.0000,0.6667,0.8000,1.0000,0.5000,0.6667
Ex 319,0.3333,1.0000,0.5000,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 320,1.0000,0.6000,0.7500,0.9000,0.5625,0.6923,0.0000,0.0000,0.0000
Ex 321,0.1667,0.2000,0.1818,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 322,1.0000,0.7143,0.8333,0.9167,0.5238,0.6667,0.6667,0.2857,0.4000
Ex 323,0.6667,0.6667,0.6667,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000
Ex 324,0.1667,0.5000,0.2500,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 325,1.0000,1.0000,1.0000,0.8000,0.5714,0.6667,1.0000,1.0000,1.0000
Ex 326,0.7500,1.0000,0.8571,0.9167,0.5789,0.7097,1.0000,0.5000,0.6667
Ex 327,0.8000,1.0000,0.8889,1.0000,0.5909,0.7429,1.0000,0.5000,0.6667
Ex 328,0.6000,0.5000,0.5455,0.6522,0.5556,0.6000,1.0000,0.2500,0.4000
Ex 329,0.6667,0.5000,0.5714,1.0000,0.5714,0.7273,1.0000,0.3333,0.5000
Ex 330,1.0000,0.6000,0.7500,0.9167,0.5238,0.6667,1.0000,0.5000,0.6667
Ex 331,0.7500,0.7500,0.7500,0.1000,0.0625,0.0769,0.0000,0.0000,0.0000
Ex 332,0.8333,0.7143,0.7692,0.7000,0.3684,0.4828,1.0000,0.5714,0.7273
Ex 333,0.4286,0.5000,0.4615,0.9444,0.7083,0.8095,1.0000,0.2857,0.4444
Ex 334,1.0000,1.0000,1.0000,1.0000,0.4667,0.6364,1.0000,0.6667,0.8000
Ex 335,0.5000,1.0000,0.6667,0.7000,0.5833,0.6364,1.0000,1.0000,1.0000
Ex 336,1.0000,0.8000,0.8889,0.9231,0.8889,0.9057,1.0000,0.5000,0.6667
Ex 337,0.7500,0.6000,0.6667,0.8182,0.8182,0.8182,1.0000,0.2000,0.3333
Ex 338,1.0000,1.0000,1.0000,1.0000,0.6129,0.7600,1.0000,0.6000,0.7500
Ex 339,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 340,1.0000,0.6667,0.8000,0.5714,0.4000,0.4706,0.6667,0.2500,0.3636
Ex 341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 342,1.0000,1.0000,1.0000,0.3333,0.2000,0.2500,1.0000,1.0000,1.0000
Ex 343,0.7500,0.6000,0.6667,0.7143,0.7692,0.7407,0.0000,0.0000,0.0000
Ex 344,0.8000,0.5000,0.6154,0.8000,0.4444,0.5714,1.0000,0.1250,0.2222
Ex 345,1.0000,0.2500,0.4000,0.6667,0.5714,0.6154,0.0000,0.0000,0.0000
Ex 346,1.0000,1.0000,1.0000,0.4286,0.2727,0.3333,0.0000,0.0000,0.0000
Ex 347,0.5556,0.4167,0.4762,0.5769,0.6250,0.6000,1.0000,0.1818,0.3077
Ex 348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 349,1.0000,1.0000,1.0000,0.7059,0.5217,0.6000,1.0000,1.0000,1.0000
Ex 350,0.7000,1.0000,0.8235,0.8800,0.5641,0.6875,1.0000,0.4000,0.5714
Ex 351,0.7500,0.6000,0.6667,0.1111,0.1667,0.1333,0.5000,0.2000,0.2857
Ex 352,1.0000,0.8000,0.8889,0.7778,0.6364,0.7000,1.0000,0.7500,0.8571
Ex 353,0.6000,0.6000,0.6000,0.5000,0.4375,0.4667,0.0000,0.0000,0.0000
Ex 354,0.5000,0.6667,0.5714,0.4444,0.5714,0.5000,0.0000,0.0000,0.0000
Ex 355,0.5000,0.4000,0.4444,0.8000,0.5000,0.6154,0.0000,0.0000,0.0000
Ex 356,0.3333,0.5000,0.4000,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 357,0.5000,0.4286,0.4615,0.9000,0.5000,0.6429,1.0000,0.1667,0.2857
Ex 358,0.2857,1.0000,0.4444,0.2000,0.1000,0.1333,0.0000,0.0000,0.0000
Ex 359,0.6000,1.0000,0.7500,0.8000,0.5000,0.6154,1.0000,0.3333,0.5000
Ex 360,0.6667,0.6667,0.6667,0.2857,0.1818,0.2222,0.0000,0.0000,0.0000
Ex 361,0.7500,0.7500,0.7500,0.7333,0.5500,0.6286,1.0000,0.5000,0.6667
Ex 362,1.0000,1.0000,1.0000,0.7692,0.5263,0.6250,1.0000,0.6667,0.8000
Ex 363,0.5000,0.5000,0.5000,0.8500,0.8095,0.8293,0.0000,0.0000,0.0000
Ex 364,1.0000,1.0000,1.0000,0.8333,0.7692,0.8000,1.0000,1.0000,1.0000
Ex 365,1.0000,1.0000,1.0000,1.0000,0.5556,0.7143,1.0000,0.6667,0.8000
Ex 366,1.0000,0.7500,0.8571,0.5000,0.3333,0.4000,0.5000,1.0000,0.6667
Ex 367,0.7500,1.0000,0.8571,1.0000,0.6316,0.7742,1.0000,1.0000,1.0000
Ex 368,1.0000,0.5000,0.6667,0.5556,0.3571,0.4348,1.0000,0.3333,0.5000
Ex 369,0.5000,0.7500,0.6000,0.3750,0.3750,0.3750,0.5000,0.3333,0.4000
Ex 370,0.3333,0.4000,0.3636,1.0000,0.5556,0.7143,1.0000,0.2000,0.3333
Ex 371,0.8000,1.0000,0.8889,0.8276,0.7742,0.8000,0.6667,0.6667,0.6667
Ex 372,0.5000,0.2857,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 373,0.6000,0.4286,0.5000,0.4444,0.2857,0.3478,0.0000,0.0000,0.0000
Ex 374,1.0000,0.7500,0.8571,0.5882,0.4167,0.4878,1.0000,0.5000,0.6667
Ex 375,1.0000,0.8571,0.9231,0.7857,0.7097,0.7458,1.0000,0.8333,0.9091
Ex 376,0.8000,0.3333,0.4706,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 377,1.0000,1.0000,1.0000,0.8333,0.7143,0.7692,1.0000,1.0000,1.0000
Ex 378,0.6667,0.4000,0.5000,0.3333,0.2857,0.3077,1.0000,0.1667,0.2857
Ex 379,1.0000,0.6000,0.7500,0.9375,0.7143,0.8108,1.0000,0.3333,0.5000
Ex 380,1.0000,0.7500,0.8571,0.7857,0.7857,0.7857,1.0000,0.6667,0.8000
Ex 381,1.0000,1.0000,1.0000,0.4545,0.5000,0.4762,1.0000,0.5000,0.6667
Ex 382,0.5000,1.0000,0.6667,0.8750,0.3889,0.5385,1.0000,0.6667,0.8000
Ex 383,0.6667,1.0000,0.8000,0.9474,0.8182,0.8780,1.0000,0.6667,0.8000
Ex 384,1.0000,0.8333,0.9091,0.9524,0.8696,0.9091,1.0000,0.8333,0.9091
Ex 385,0.5000,0.6667,0.5714,1.0000,0.5556,0.7143,0.0000,0.0000,0.0000
Ex 386,1.0000,1.0000,1.0000,1.0000,0.6471,0.7857,0.0000,0.0000,0.0000
Ex 387,1.0000,0.8000,0.8889,1.0000,0.6000,0.7500,1.0000,0.7500,0.8571
Ex 388,0.8000,0.5714,0.6667,0.8235,0.7000,0.7568,1.0000,0.3333,0.5000
Ex 389,1.0000,1.0000,1.0000,0.9231,0.6000,0.7273,1.0000,1.0000,1.0000
Ex 390,0.7500,0.6000,0.6667,1.0000,0.7000,0.8235,0.0000,0.0000,0.0000
Ex 391,1.0000,1.0000,1.0000,0.8182,0.6000,0.6923,1.0000,0.6667,0.8000
Ex 392,0.6667,0.5000,0.5714,0.6154,0.6154,0.6154,1.0000,0.5000,0.6667
Ex 393,0.5000,0.4000,0.4444,1.0000,0.5000,0.6667,0.0000,0.0000,0.0000
Ex 394,1.0000,1.0000,1.0000,0.9444,0.7083,0.8095,0.5000,0.5000,0.5000
Ex 395,0.6000,1.0000,0.7500,0.8750,0.5833,0.7000,0.5000,0.5000,0.5000
Ex 396,0.6667,0.2857,0.4000,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000
Ex 397,0.5714,1.0000,0.7273,0.3846,0.2778,0.3226,1.0000,0.6667,0.8000
Ex 398,1.0000,0.6667,0.8000,0.7692,0.8333,0.8000,1.0000,0.5000,0.6667
Ex 399,0.8000,0.6667,0.7273,1.0000,0.7143,0.8333,0.6667,0.3333,0.4444
Ex 400,0.7500,0.5000,0.6000,1.0000,0.7333,0.8462,1.0000,0.2000,0.3333
Ex 401,1.0000,1.0000,1.0000,0.7778,0.5185,0.6222,1.0000,0.6000,0.7500
Ex 402,0.8000,0.4444,0.5714,0.9333,0.6364,0.7568,1.0000,0.3333,0.5000
Ex 403,0.6000,0.5000,0.5455,1.0000,0.8000,0.8889,1.0000,0.1667,0.2857
Ex 404,0.7500,0.6000,0.6667,0.8000,0.5000,0.6154,1.0000,0.2500,0.4000
Ex 405,0.8000,0.5000,0.6154,0.9091,0.5556,0.6897,0.5000,0.1250,0.2000
Ex 406,0.8462,0.6111,0.7097,0.9130,0.9130,0.9130,0.6000,0.3333,0.4286
Ex 407,1.0000,1.0000,1.0000,0.9000,0.6923,0.7826,1.0000,1.0000,1.0000
Ex 408,1.0000,0.7500,0.8571,0.9231,0.9231,0.9231,1.0000,0.5000,0.6667
Ex 409,1.0000,0.8333,0.9091,0.7273,0.4211,0.5333,1.0000,0.5000,0.6667
Ex 410,0.7143,0.6250,0.6667,1.0000,0.8696,0.9302,0.5000,0.3333,0.4000
Ex 411,0.2857,0.6667,0.4000,0.8750,0.4118,0.5600,0.0000,0.0000,0.0000
Ex 412,1.0000,1.0000,1.0000,1.0000,0.5882,0.7407,0.5000,0.3333,0.4000
Ex 413,0.7500,0.7500,0.7500,0.9167,0.6875,0.7857,1.0000,0.3333,0.5000
Ex 414,0.7500,0.5000,0.6000,0.8333,0.4167,0.5556,1.0000,0.3333,0.5000
Ex 415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 416,0.7500,0.6000,0.6667,0.9545,0.6774,0.7925,0.7500,0.2308,0.3529
Ex 417,1.0000,0.5000,0.6667,0.8500,0.7083,0.7727,0.5000,0.2500,0.3333
Ex 418,0.5000,0.7500,0.6000,1.0000,0.6190,0.7647,0.0000,0.0000,0.0000
Ex 419,1.0000,0.8000,0.8889,1.0000,0.5833,0.7368,0.6667,0.5000,0.5714
Ex 420,0.7857,0.9167,0.8462,0.7826,0.6102,0.6857,1.0000,0.5333,0.6957
Ex 421,0.7500,1.0000,0.8571,0.5909,0.5000,0.5417,1.0000,0.6667,0.8000
Ex 422,1.0000,1.0000,1.0000,0.9677,0.9375,0.9524,0.6667,0.5000,0.5714
Ex 423,0.8571,0.8571,0.8571,0.8182,0.6585,0.7297,0.7500,0.5000,0.6000
Ex 424,0.8000,1.0000,0.8889,0.9375,0.5000,0.6522,1.0000,0.5000,0.6667
Ex 425,1.0000,1.0000,1.0000,0.6129,0.4750,0.5352,0.8333,0.7143,0.7692
Ex 426,0.7500,0.6000,0.6667,0.9000,0.6429,0.7500,1.0000,0.1667,0.2857
Ex 427,1.0000,0.8333,0.9091,0.8571,0.6923,0.7660,1.0000,0.6667,0.8000
Ex 428,0.5714,0.8000,0.6667,0.3636,0.2857,0.3200,0.0000,0.0000,0.0000
Ex 429,1.0000,1.0000,1.0000,0.8462,0.6875,0.7586,1.0000,1.0000,1.0000
Ex 430,0.5000,0.5000,0.5000,0.7500,0.6000,0.6667,1.0000,0.1429,0.2500
Ex 431,0.7500,0.5000,0.6000,0.7273,0.6154,0.6667,1.0000,0.3333,0.5000
Ex 432,0.8333,1.0000,0.9091,0.6842,0.5417,0.6047,1.0000,0.5000,0.6667
Ex 433,0.4000,0.5000,0.4444,1.0000,0.7500,0.8571,1.0000,0.2500,0.4000
Ex 434,0.6667,0.4000,0.5000,0.8571,0.6000,0.7059,0.0000,0.0000,0.0000
Ex 435,0.7143,0.8333,0.7692,0.9000,0.6207,0.7347,1.0000,0.6000,0.7500
Ex 436,1.0000,0.4444,0.6154,0.6667,0.2857,0.4000,0.5000,0.1250,0.2000
Ex 437,1.0000,0.8000,0.8889,0.8824,0.7500,0.8108,1.0000,0.6667,0.8000
Ex 438,1.0000,0.8333,0.9091,0.9286,0.4643,0.6190,1.0000,0.3000,0.4615
Ex 439,0.7500,0.6000,0.6667,0.6923,0.6000,0.6429,0.5000,0.2500,0.3333
Ex 440,0.4286,0.5000,0.4615,0.9286,0.5909,0.7222,1.0000,0.1429,0.2500
Ex 441,0.7500,1.0000,0.8571,0.3077,0.3077,0.3077,1.0000,0.5000,0.6667
Ex 442,0.5000,0.4286,0.4615,0.3000,0.1765,0.2222,0.0000,0.0000,0.0000
Ex 443,0.2500,0.1429,0.1818,0.7692,0.6667,0.7143,0.0000,0.0000,0.0000
Ex 444,1.0000,0.8000,0.8889,0.9000,0.8182,0.8571,1.0000,0.4000,0.5714
Ex 445,0.8333,0.3846,0.5263,0.5625,0.3333,0.4186,1.0000,0.1667,0.2857
Ex 446,0.6250,0.5556,0.5882,0.8000,0.5000,0.6154,1.0000,0.1818,0.3077
Ex 447,0.4286,0.6000,0.5000,1.0000,0.7826,0.8780,0.5000,0.2500,0.3333
Ex 448,0.5000,0.5556,0.5263,0.9474,0.6207,0.7500,0.0000,0.0000,0.0000
Ex 449,0.8571,1.0000,0.9231,0.8750,0.7000,0.7778,0.8000,0.8000,0.8000
Ex 450,1.0000,1.0000,1.0000,0.7500,0.6522,0.6977,1.0000,0.6667,0.8000
Ex 451,0.5714,0.8000,0.6667,0.9565,0.8800,0.9167,1.0000,0.2500,0.4000
Ex 452,1.0000,1.0000,1.0000,0.8421,0.6957,0.7619,1.0000,0.5000,0.6667
Ex 453,0.5000,0.6667,0.5714,0.6667,0.6000,0.6316,1.0000,0.5000,0.6667
Ex 454,0.8000,0.5714,0.6667,0.6250,0.7143,0.6667,0.0000,0.0000,0.0000
Ex 455,0.5000,0.5000,0.5000,0.3750,0.7500,0.5000,0.0000,0.0000,0.0000
Ex 456,0.6667,0.5714,0.6154,0.7857,0.6111,0.6875,1.0000,0.1667,0.2857
Ex 457,1.0000,0.5714,0.7273,0.8750,0.4118,0.5600,1.0000,0.3333,0.5000
Ex 458,1.0000,0.6000,0.7500,0.8333,0.6667,0.7407,1.0000,0.5000,0.6667
Ex 459,0.8000,1.0000,0.8889,0.9091,0.6250,0.7407,1.0000,0.4000,0.5714
Ex 460,0.6667,0.6667,0.6667,1.0000,0.7000,0.8235,1.0000,1.0000,1.0000
Ex 461,1.0000,0.5000,0.6667,0.8462,0.6471,0.7333,0.5000,0.2000,0.2857
Ex 462,0.6667,0.5000,0.5714,0.7500,0.6429,0.6923,1.0000,0.3333,0.5000
Ex 463,0.7500,1.0000,0.8571,0.8182,0.4737,0.6000,1.0000,1.0000,1.0000
Ex 464,1.0000,0.7500,0.8571,0.3750,0.2308,0.2857,1.0000,0.2000,0.3333
Ex 465,1.0000,1.0000,1.0000,0.9091,0.6250,0.7407,1.0000,0.5000,0.6667
Ex 466,0.6667,0.5000,0.5714,1.0000,0.7500,0.8571,1.0000,0.5000,0.6667
Ex 467,0.8333,0.5556,0.6667,0.8333,0.5556,0.6667,1.0000,0.3333,0.5000
Ex 468,0.7500,1.0000,0.8571,0.6154,0.3810,0.4706,1.0000,0.5000,0.6667
Ex 469,0.8333,1.0000,0.9091,1.0000,0.6538,0.7907,1.0000,0.5000,0.6667
Ex 470,0.6667,0.5714,0.6154,0.6667,0.4444,0.5333,1.0000,0.1429,0.2500
Ex 471,0.7500,1.0000,0.8571,1.0000,0.7059,0.8276,0.5000,0.5000,0.5000
Ex 472,0.3333,0.3333,0.3333,1.0000,0.4000,0.5714,0.0000,0.0000,0.0000
Ex 473,1.0000,1.0000,1.0000,0.9412,0.7273,0.8205,0.5000,0.5000,0.5000
Ex 474,0.6000,0.7500,0.6667,0.7000,0.7778,0.7368,1.0000,0.3333,0.5000
Ex 475,1.0000,0.6000,0.7500,0.8889,0.5333,0.6667,0.6667,0.5000,0.5714
Ex 476,1.0000,0.4545,0.6250,0.5333,0.4000,0.4571,1.0000,0.4286,0.6000
Ex 477,0.6667,1.0000,0.8000,0.6667,0.5000,0.5714,1.0000,1.0000,1.0000
Ex 478,1.0000,1.0000,1.0000,0.8000,0.6667,0.7273,0.7500,0.6000,0.6667
Ex 479,0.2500,0.3333,0.2857,0.8000,0.5714,0.6667,0.0000,0.0000,0.0000
Ex 480,0.6000,1.0000,0.7500,0.9333,0.8235,0.8750,0.0000,0.0000,0.0000
Ex 481,0.2500,0.1667,0.2000,0.3333,1.0000,0.5000,0.0000,0.0000,0.0000
Ex 482,1.0000,0.8000,0.8889,0.6667,0.5000,0.5714,1.0000,0.5000,0.6667
Ex 483,1.0000,0.6000,0.7500,0.9167,0.8462,0.8800,1.0000,0.2500,0.4000
Ex 484,0.8000,0.8000,0.8000,1.0000,0.4375,0.6087,1.0000,0.6000,0.7500
Ex 485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 486,0.4000,0.6667,0.5000,0.8000,0.4444,0.5714,1.0000,0.3333,0.5000
Ex 487,0.6667,1.0000,0.8000,0.2000,0.0769,0.1111,1.0000,1.0000,1.0000
Ex 488,0.7500,0.7500,0.7500,0.5455,0.2857,0.3750,0.0000,0.0000,0.0000
Ex 489,0.2500,0.2500,0.2500,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000
Ex 490,0.7143,0.7143,0.7143,0.9565,0.6667,0.7857,0.6667,0.2857,0.4000
Ex 491,0.6000,0.6000,0.6000,0.6250,0.4167,0.5000,0.0000,0.0000,0.0000
Ex 492,0.7500,1.0000,0.8571,0.4286,0.2727,0.3333,0.6667,0.6667,0.6667
Ex 493,1.0000,0.6000,0.7500,0.7692,0.6250,0.6897,1.0000,0.5000,0.6667
Ex 494,1.0000,0.8000,0.8889,0.7692,0.6667,0.7143,0.3333,0.2000,0.2500
Ex 495,0.8000,0.5714,0.6667,0.8000,0.8333,0.8163,1.0000,0.3333,0.5000
Ex 496,1.0000,0.7500,0.8571,0.8571,0.6207,0.7200,0.6667,0.5000,0.5714
Ex 497,0.4000,0.6667,0.5000,0.8750,0.6364,0.7368,0.0000,0.0000,0.0000
Ex 498,0.6667,0.4000,0.5000,0.7500,0.3750,0.5000,0.0000,0.0000,0.0000
Ex 499,1.0000,0.6000,0.7500,0.8571,0.4000,0.5455,0.0000,0.0000,0.0000
Ex 500,0.8333,0.8333,0.8333,1.0000,0.7059,0.8276,0.0000,0.0000,0.0000
AVERAGE,0.7384,0.6969,0.698,0.75,0.5558,0.6287,0.6395,0.3535,0.4298
