Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 296,0.5000,0.5000,0.5000,0.8333,0.7143,0.7692,0.0000,0.0000,0.0000
Ex 297,0.5000,0.4000,0.4444,0.2222,0.3333,0.2667,0.0000,0.0000,0.0000
Ex 298,1.0000,1.0000,1.0000,0.6667,0.4615,0.5455,0.7500,1.0000,0.8571
Ex 299,1.0000,1.0000,1.0000,0.8182,0.6667,0.7347,1.0000,0.5000,0.6667
Ex 300,0.2500,0.2500,0.2500,0.3333,0.2500,0.2857,0.0000,0.0000,0.0000
Ex 301,0.4000,0.5000,0.4444,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000
Ex 302,0.7143,1.0000,0.8333,0.6538,0.5312,0.5862,1.0000,0.7500,0.8571
Ex 303,0.6667,0.6667,0.6667,0.6842,0.5652,0.6190,1.0000,0.4000,0.5714
Ex 304,0.6000,1.0000,0.7500,0.5000,0.2857,0.3636,1.0000,0.5000,0.6667
Ex 305,0.7500,0.7500,0.7500,0.8333,0.6667,0.7407,0.6667,0.6667,0.6667
Ex 306,0.8333,0.4545,0.5882,0.5714,0.5161,0.5424,0.2500,0.1429,0.1818
Ex 307,0.3333,0.3333,0.3333,1.0000,0.7857,0.8800,0.0000,0.0000,0.0000
Ex 308,0.7500,0.6000,0.6667,1.0000,0.8333,0.9091,0.5000,0.2000,0.2857
Ex 309,0.2000,0.2000,0.2000,0.8000,0.4444,0.5714,0.0000,0.0000,0.0000
Ex 310,0.6667,1.0000,0.8000,1.0000,0.6667,0.8000,1.0000,1.0000,1.0000
Ex 311,0.7500,1.0000,0.8571,0.5000,0.4118,0.4516,1.0000,0.3333,0.5000
Ex 312,1.0000,0.6667,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 313,0.8333,0.7143,0.7692,0.3684,0.4667,0.4118,0.6667,0.3333,0.4444
Ex 314,0.7500,0.7500,0.7500,0.5000,0.4167,0.4545,0.5000,0.2000,0.2857
Ex 315,0.5000,0.5000,0.5000,0.5714,0.3333,0.4211,0.0000,0.0000,0.0000
Ex 316,1.0000,0.8000,0.8889,0.4167,0.3333,0.3704,1.0000,0.2500,0.4000
Ex 317,0.5000,1.0000,0.6667,0.8333,0.4167,0.5556,1.0000,1.0000,1.0000
Ex 318,0.7500,1.0000,0.8571,0.8000,0.6667,0.7273,1.0000,0.5000,0.6667
Ex 319,0.3333,1.0000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000
Ex 320,0.6000,0.6000,0.6000,0.9167,0.7857,0.8462,1.0000,0.2500,0.4000
Ex 321,0.1429,0.2000,0.1667,0.2500,0.1667,0.2000,0.0000,0.0000,0.0000
Ex 322,1.0000,0.5714,0.7273,0.8235,0.7778,0.8000,1.0000,0.2857,0.4444
Ex 323,0.6667,0.6667,0.6667,0.2000,0.5000,0.2857,0.0000,0.0000,0.0000
Ex 324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 325,0.6667,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Ex 326,0.5000,0.6667,0.5714,1.0000,0.8333,0.9091,1.0000,0.5000,0.6667
Ex 327,0.5000,0.7500,0.6000,0.6923,0.4737,0.5625,0.5000,0.2500,0.3333
Ex 328,0.7500,0.5000,0.6000,0.7619,0.5926,0.6667,1.0000,0.5000,0.6667
Ex 329,0.4286,0.7500,0.5455,0.7778,0.6364,0.7000,1.0000,0.3333,0.5000
Ex 330,0.8000,0.8000,0.8000,0.7333,0.4583,0.5641,0.6667,0.5000,0.5714
Ex 331,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 332,0.8333,0.7143,0.7692,0.6000,0.6667,0.6316,1.0000,0.2857,0.4444
Ex 333,0.5000,0.5000,0.5000,0.8889,0.3333,0.4848,1.0000,0.4286,0.6000
Ex 334,0.6000,1.0000,0.7500,0.6667,0.6667,0.6667,1.0000,0.6667,0.8000
Ex 335,0.4000,1.0000,0.5714,0.7143,0.8333,0.7692,1.0000,1.0000,1.0000
Ex 336,1.0000,1.0000,1.0000,0.9643,0.8182,0.8852,0.7500,0.7500,0.7500
Ex 337,0.7500,0.6000,0.6667,0.5385,0.6364,0.5833,1.0000,0.2000,0.3333
Ex 338,0.8333,1.0000,0.9091,0.8519,0.7419,0.7931,1.0000,0.6000,0.7500
Ex 339,0.5000,0.6667,0.5714,0.1000,0.1429,0.1176,1.0000,0.5000,0.6667
Ex 340,0.8571,0.6667,0.7500,0.3889,0.3182,0.3500,1.0000,0.1250,0.2222
Ex 341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 342,1.0000,1.0000,1.0000,0.3529,0.6000,0.4444,0.5000,1.0000,0.6667
Ex 343,0.7500,0.6000,0.6667,0.6250,0.7692,0.6897,0.0000,0.0000,0.0000
Ex 344,0.7500,0.3750,0.5000,0.6667,0.5000,0.5714,1.0000,0.1250,0.2222
Ex 345,1.0000,0.3750,0.5455,0.7500,0.6000,0.6667,0.5000,0.1429,0.2222
Ex 346,0.5000,1.0000,0.6667,0.4545,0.4545,0.4545,1.0000,1.0000,1.0000
Ex 347,0.2857,0.1667,0.2105,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000
Ex 348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 349,1.0000,0.6667,0.8000,0.9167,0.7857,0.8462,0.0000,0.0000,0.0000
Ex 350,0.8571,0.8571,0.8571,0.7188,0.6571,0.6866,0.3333,0.2000,0.2500
Ex 351,0.5556,1.0000,0.7143,0.2857,0.3333,0.3077,0.0000,0.0000,0.0000
Ex 352,0.8000,0.8000,0.8000,0.8947,0.7727,0.8293,1.0000,0.7500,0.8571
Ex 353,0.6000,0.6000,0.6000,0.5000,0.3750,0.4286,0.0000,0.0000,0.0000
Ex 354,0.5000,0.6667,0.5714,0.3333,0.2857,0.3077,0.0000,0.0000,0.0000
Ex 355,0.6667,0.8000,0.7273,0.5385,0.5000,0.5185,1.0000,0.2000,0.3333
Ex 356,0.2500,0.5000,0.3333,0.7500,0.6000,0.6667,0.0000,0.0000,0.0000
Ex 357,0.5000,0.5714,0.5333,0.6667,0.5217,0.5854,1.0000,0.3333,0.5000
Ex 358,0.2000,0.5000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 359,0.6000,1.0000,0.7500,0.6429,0.5625,0.6000,1.0000,0.3333,0.5000
Ex 360,0.2857,0.6667,0.4000,0.3846,0.4545,0.4167,0.0000,0.0000,0.0000
Ex 361,0.7500,0.7500,0.7500,0.5000,0.4211,0.4571,0.5000,0.5000,0.5000
Ex 362,0.7500,1.0000,0.8571,0.7895,0.7895,0.7895,1.0000,0.6667,0.8000
Ex 363,0.4000,0.5000,0.4444,0.9444,0.8095,0.8718,0.0000,0.0000,0.0000
Ex 364,0.7500,0.7500,0.7500,0.8333,0.9091,0.8696,1.0000,0.3333,0.5000
Ex 365,0.8000,1.0000,0.8889,0.7857,0.6111,0.6875,1.0000,1.0000,1.0000
Ex 366,1.0000,1.0000,1.0000,0.5500,0.6471,0.5946,0.6667,1.0000,0.8000
Ex 367,0.4286,1.0000,0.6000,0.7368,0.7368,0.7368,1.0000,1.0000,1.0000
Ex 368,0.8000,0.5000,0.6154,0.5714,0.5714,0.5714,1.0000,0.3333,0.5000
Ex 369,0.7500,0.7500,0.7500,0.4000,0.3750,0.3871,0.0000,0.0000,0.0000
Ex 370,0.5714,0.8000,0.6667,0.8333,0.6667,0.7407,1.0000,0.6000,0.7500
Ex 371,0.7500,0.7500,0.7500,1.0000,0.7083,0.8293,0.6667,0.6667,0.6667
Ex 372,0.6000,0.4286,0.5000,0.1000,0.0833,0.0909,0.5000,0.1250,0.2000
Ex 373,0.5000,0.4286,0.4615,0.4444,0.2857,0.3478,0.0000,0.0000,0.0000
Ex 374,0.8333,0.6250,0.7143,0.5789,0.6471,0.6111,0.5000,0.1667,0.2500
Ex 375,1.0000,0.8571,0.9231,0.8333,0.8065,0.8197,1.0000,0.8333,0.9091
Ex 376,1.0000,0.5000,0.6667,0.4333,0.6190,0.5098,0.5000,0.2000,0.2857
Ex 377,1.0000,1.0000,1.0000,0.4545,0.7143,0.5556,1.0000,1.0000,1.0000
Ex 378,0.5000,0.4000,0.4444,0.5714,0.5714,0.5714,1.0000,0.1667,0.2857
Ex 379,0.7500,0.6000,0.6667,0.8889,0.7619,0.8205,1.0000,0.1667,0.2857
Ex 380,1.0000,0.7500,0.8571,0.7857,0.7857,0.7857,1.0000,0.6667,0.8000
Ex 381,1.0000,1.0000,1.0000,0.2308,0.3000,0.2609,1.0000,1.0000,1.0000
Ex 382,0.5000,0.6667,0.5714,0.6250,0.3571,0.4545,1.0000,0.3333,0.5000
Ex 383,0.6667,1.0000,0.8000,0.8400,0.9545,0.8936,1.0000,0.6667,0.8000
Ex 384,0.5000,0.5000,0.5000,0.6429,0.5294,0.5806,1.0000,0.1667,0.2857
Ex 385,0.4000,0.6667,0.5000,0.8000,0.4444,0.5714,0.0000,0.0000,0.0000
Ex 386,1.0000,1.0000,1.0000,1.0000,0.8235,0.9032,1.0000,0.5000,0.6667
Ex 387,1.0000,1.0000,1.0000,0.7391,0.7083,0.7234,0.7500,0.7500,0.7500
Ex 388,0.8571,0.8571,0.8571,0.7500,0.7778,0.7636,1.0000,0.6667,0.8000
Ex 389,0.7500,0.7500,0.7500,0.5882,0.6250,0.6061,1.0000,0.3333,0.5000
Ex 390,0.7500,0.6000,0.6667,0.5714,0.8000,0.6667,0.0000,0.0000,0.0000
Ex 391,0.7500,1.0000,0.8571,0.7500,0.6000,0.6667,1.0000,0.3333,0.5000
Ex 392,0.6000,0.7500,0.6667,0.4118,0.3889,0.4000,1.0000,0.5000,0.6667
Ex 393,0.5000,0.6000,0.5455,0.4118,0.5833,0.4828,0.0000,0.0000,0.0000
Ex 394,0.8000,1.0000,0.8889,0.8571,0.7500,0.8000,0.5000,0.5000,0.5000
Ex 395,0.6000,1.0000,0.7500,0.6000,0.5000,0.5455,0.0000,0.0000,0.0000
Ex 396,0.6000,0.4286,0.5000,0.5000,0.7500,0.6000,0.0000,0.0000,0.0000
Ex 397,0.5000,1.0000,0.6667,0.3333,0.2778,0.3030,1.0000,0.6667,0.8000
Ex 398,1.0000,1.0000,1.0000,0.5600,0.7778,0.6512,1.0000,0.7500,0.8571
Ex 399,0.5714,0.6667,0.6154,0.8889,0.7619,0.8205,0.7500,0.5000,0.6000
Ex 400,0.6667,0.6667,0.6667,0.7391,0.8095,0.7727,1.0000,0.4000,0.5714
Ex 401,0.8000,1.0000,0.8889,0.7188,0.8519,0.7797,1.0000,0.4000,0.5714
Ex 402,0.5000,0.4444,0.4706,0.6667,0.4444,0.5333,0.0000,0.0000,0.0000
Ex 403,0.6667,0.6667,0.6667,0.9091,0.7692,0.8333,1.0000,0.1667,0.2857
Ex 404,0.8000,0.8000,0.8000,0.5238,0.5500,0.5366,0.5000,0.2500,0.3333
Ex 405,0.8333,0.6250,0.7143,0.6190,0.5909,0.6047,0.6667,0.2500,0.3636
Ex 406,1.0000,0.3889,0.5600,0.6923,0.6207,0.6545,0.5000,0.2222,0.3077
Ex 407,1.0000,1.0000,1.0000,0.7333,0.8462,0.7857,1.0000,0.5000,0.6667
Ex 408,1.0000,0.7500,0.8571,0.6923,0.6923,0.6923,1.0000,0.5000,0.6667
Ex 409,0.7500,0.5000,0.6000,0.5000,0.5455,0.5217,1.0000,0.3333,0.5000
Ex 410,0.4444,0.5000,0.4706,0.2800,0.3500,0.3111,0.0000,0.0000,0.0000
Ex 411,0.2500,0.6667,0.3636,0.9000,0.5294,0.6667,0.0000,0.0000,0.0000
Ex 412,0.6667,1.0000,0.8000,0.8750,0.8235,0.8485,0.5000,0.3333,0.4000
Ex 413,0.6000,0.7500,0.6667,0.8750,0.8750,0.8750,0.5000,0.3333,0.4000
Ex 414,1.0000,0.8333,0.9091,0.9333,0.6364,0.7568,1.0000,0.8333,0.9091
Ex 415,0.5000,0.6667,0.5714,0.7143,0.4545,0.5556,0.0000,0.0000,0.0000
Ex 416,0.6667,0.4000,0.5000,0.6364,0.6667,0.6512,1.0000,0.1538,0.2667
Ex 417,1.0000,0.6250,0.7692,0.8095,0.6538,0.7234,0.5000,0.3750,0.4286
Ex 418,0.3750,0.7500,0.5000,0.8500,0.8095,0.8293,0.0000,0.0000,0.0000
Ex 419,1.0000,1.0000,1.0000,0.9565,0.6667,0.7857,0.7500,0.7500,0.7500
Ex 420,0.7857,0.9167,0.8462,0.7358,0.6610,0.6964,1.0000,0.4667,0.6364
Ex 421,0.5000,0.6667,0.5714,0.5294,0.5000,0.5143,1.0000,0.3333,0.5000
Ex 422,1.0000,1.0000,1.0000,0.9231,0.7500,0.8276,0.5000,0.5000,0.5000
Ex 423,1.0000,0.7143,0.8333,0.7083,0.5484,0.6182,0.6667,0.3333,0.4444
Ex 424,0.8000,1.0000,0.8889,0.8421,0.5333,0.6531,1.0000,0.7500,0.8571
Ex 425,1.0000,1.0000,1.0000,0.4545,0.3750,0.4110,0.8000,0.5714,0.6667
Ex 426,0.4286,0.6000,0.5000,0.8182,0.6429,0.7200,1.0000,0.1667,0.2857
Ex 427,0.8000,0.6667,0.7273,0.8261,0.8636,0.8444,1.0000,0.3333,0.5000
Ex 428,0.5000,0.6000,0.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 429,1.0000,1.0000,1.0000,0.8462,0.6875,0.7586,1.0000,1.0000,1.0000
Ex 430,0.3750,0.5000,0.4286,0.5455,0.4800,0.5106,1.0000,0.1429,0.2500
Ex 431,0.6667,0.6667,0.6667,0.4000,0.3750,0.3871,1.0000,0.3333,0.5000
Ex 432,0.8333,1.0000,0.9091,0.5000,0.5000,0.5000,0.8000,0.6667,0.7273
Ex 433,0.6000,0.7500,0.6667,0.7895,0.7500,0.7692,1.0000,0.5000,0.6667
Ex 434,0.6667,0.8000,0.7273,0.7778,0.6364,0.7000,0.5000,0.3333,0.4000
Ex 435,0.6000,1.0000,0.7500,0.9545,0.6000,0.7368,0.6667,0.4000,0.5000
Ex 436,0.8000,0.4444,0.5714,0.5882,0.3571,0.4444,0.5000,0.1250,0.2000
Ex 437,0.8000,0.8000,0.8000,0.7895,0.7500,0.7692,0.5000,0.3333,0.4000
Ex 438,1.0000,0.8333,0.9091,0.7778,0.5000,0.6087,1.0000,0.4000,0.5714
Ex 439,0.6000,0.6000,0.6000,0.5000,0.4000,0.4444,1.0000,0.2500,0.4000
Ex 440,0.3333,0.3333,0.3333,0.8889,0.4444,0.5926,0.0000,0.0000,0.0000
Ex 441,0.6000,1.0000,0.7500,0.6154,0.6154,0.6154,1.0000,0.5000,0.6667
Ex 442,0.5000,0.4286,0.4615,0.8000,0.6667,0.7273,1.0000,0.1000,0.1818
Ex 443,0.1667,0.1429,0.1538,0.6000,0.6000,0.6000,0.0000,0.0000,0.0000
Ex 444,1.0000,0.8000,0.8889,0.9000,0.8182,0.8571,1.0000,0.4000,0.5714
Ex 445,0.6000,0.2308,0.3333,0.4167,0.2778,0.3333,1.0000,0.0556,0.1053
Ex 446,0.6250,0.5556,0.5882,0.6818,0.4688,0.5556,1.0000,0.1818,0.3077
Ex 447,0.4286,0.6000,0.5000,0.8000,0.6957,0.7442,0.5000,0.2500,0.3333
Ex 448,0.6667,0.6667,0.6667,0.7500,0.5806,0.6545,0.7500,0.3333,0.4615
Ex 449,0.8571,1.0000,0.9231,0.5185,0.4667,0.4912,0.8000,0.8000,0.8000
Ex 450,0.6667,0.8000,0.7273,0.8462,0.5789,0.6875,1.0000,0.3333,0.5000
Ex 451,0.6667,0.8000,0.7273,0.8182,0.7200,0.7660,1.0000,0.2500,0.4000
Ex 452,0.6000,1.0000,0.7500,0.7368,0.6087,0.6667,1.0000,1.0000,1.0000
Ex 453,0.5000,0.6667,0.5714,0.5000,0.4000,0.4444,1.0000,0.5000,0.6667
Ex 454,0.6667,0.5714,0.6154,0.5263,0.7143,0.6061,0.0000,0.0000,0.0000
Ex 455,0.6667,1.0000,0.8000,0.4000,0.5455,0.4615,1.0000,0.3333,0.5000
Ex 456,0.7143,0.7143,0.7143,0.8125,0.5909,0.6842,0.5000,0.1667,0.2500
Ex 457,1.0000,0.7143,0.8333,1.0000,0.5238,0.6875,1.0000,0.5000,0.6667
Ex 458,0.6667,0.8000,0.7273,0.7778,0.6087,0.6829,1.0000,0.7500,0.8571
Ex 459,0.8000,1.0000,0.8889,0.6000,0.7500,0.6667,1.0000,0.6000,0.7500
Ex 460,0.4000,0.6667,0.5000,0.7778,0.7000,0.7368,1.0000,1.0000,1.0000
Ex 461,0.6667,0.3333,0.4444,0.7692,0.8333,0.8000,1.0000,0.2000,0.3333
Ex 462,0.6667,0.5000,0.5714,0.6667,0.5714,0.6154,1.0000,0.3333,0.5000
Ex 463,0.6000,1.0000,0.7500,0.8333,0.5263,0.6452,1.0000,1.0000,1.0000
Ex 464,1.0000,0.7500,0.8571,0.4500,0.6923,0.5455,0.6667,0.4000,0.5000
Ex 465,1.0000,1.0000,1.0000,0.6250,0.6250,0.6250,0.5000,0.5000,0.5000
Ex 466,0.6000,0.7500,0.6667,0.8182,0.6000,0.6923,1.0000,0.5000,0.6667
Ex 467,1.0000,0.6667,0.8000,0.6667,0.8571,0.7500,1.0000,0.5556,0.7143
Ex 468,0.6000,1.0000,0.7500,0.4000,0.2857,0.3333,0.0000,0.0000,0.0000
Ex 469,0.7143,1.0000,0.8333,0.8000,0.7692,0.7843,1.0000,0.5000,0.6667
Ex 470,0.6250,0.7143,0.6667,0.5000,0.4348,0.4651,1.0000,0.1429,0.2500
Ex 471,0.6000,1.0000,0.7500,0.7857,0.6471,0.7097,1.0000,0.5000,0.6667
Ex 472,0.5000,0.6667,0.5714,0.7143,0.5000,0.5882,0.0000,0.0000,0.0000
Ex 473,1.0000,1.0000,1.0000,0.7500,0.6818,0.7143,0.5000,0.5000,0.5000
Ex 474,0.5000,0.7500,0.6000,0.4000,0.4444,0.4211,1.0000,0.3333,0.5000
Ex 475,1.0000,0.6000,0.7500,0.9091,0.6667,0.7692,1.0000,0.5000,0.6667
Ex 476,0.7500,0.5455,0.6316,0.7500,0.6250,0.6818,1.0000,0.4286,0.6000
Ex 477,0.1429,0.5000,0.2222,0.6667,0.4000,0.5000,0.0000,0.0000,0.0000
Ex 478,0.8333,1.0000,0.9091,0.7143,0.6250,0.6667,0.7500,0.6000,0.6667
Ex 479,0.6000,1.0000,0.7500,0.5714,0.4706,0.5161,0.6667,0.6667,0.6667
Ex 480,0.4286,1.0000,0.6000,1.0000,0.6471,0.7857,0.0000,0.0000,0.0000
Ex 481,0.2500,0.1667,0.2000,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000
Ex 482,1.0000,1.0000,1.0000,0.5417,0.5000,0.5200,1.0000,0.7500,0.8571
Ex 483,1.0000,0.6000,0.7500,0.8333,0.7692,0.8000,1.0000,0.5000,0.6667
Ex 484,0.6667,0.8000,0.7273,0.6316,0.7500,0.6857,1.0000,0.4000,0.5714
Ex 485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 486,0.4000,0.6667,0.5000,0.5000,0.2222,0.3077,1.0000,0.3333,0.5000
Ex 487,0.5000,1.0000,0.6667,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
Ex 488,0.8000,1.0000,0.8889,0.6000,0.3750,0.4615,0.5000,0.3333,0.4000
Ex 489,0.2000,0.2500,0.2222,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000
Ex 490,0.6000,0.4286,0.5000,0.7143,0.4762,0.5714,0.0000,0.0000,0.0000
Ex 491,0.5714,0.8000,0.6667,0.5625,0.6000,0.5806,0.0000,0.0000,0.0000
Ex 492,0.7500,1.0000,0.8571,0.2500,0.1818,0.2105,1.0000,1.0000,1.0000
Ex 493,1.0000,0.6000,0.7500,0.6250,0.6250,0.6250,1.0000,0.5000,0.6667
Ex 494,1.0000,1.0000,1.0000,0.8438,0.7500,0.7941,0.5000,0.2000,0.2857
Ex 495,0.8000,0.5714,0.6667,0.7826,0.7500,0.7660,1.0000,0.3333,0.5000
Ex 496,0.5000,0.7500,0.6000,0.8889,0.5517,0.6809,1.0000,0.2500,0.4000
Ex 497,0.6000,1.0000,0.7500,0.7500,0.6000,0.6667,1.0000,0.5000,0.6667
Ex 498,0.6667,0.4000,0.5000,0.5714,0.5000,0.5333,0.0000,0.0000,0.0000
Ex 499,0.7500,0.6000,0.6667,0.7333,0.7333,0.7333,1.0000,0.5000,0.6667
Ex 500,0.8333,0.8333,0.8333,1.0000,0.7647,0.8667,1.0000,0.2000,0.3333
AVERAGE,0.6572,0.7171,0.6642,0.6363,0.559,0.5866,0.6488,0.3709,0.4428
