Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 277,1.0000,0.5714,0.7273,0.5833,0.7778,0.6667,0.0000,0.0000,0.0000
Ex 278,0.4000,0.6667,0.5000,0.9333,1.0000,0.9655,1.0000,0.5000,0.6667
Ex 279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 280,1.0000,0.8571,0.9231,0.8095,0.8095,0.8095,1.0000,0.6667,0.8000
Ex 281,1.0000,1.0000,1.0000,0.6250,0.3571,0.4545,1.0000,0.5000,0.6667
Ex 282,1.0000,0.8000,0.8889,0.6471,0.7857,0.7097,1.0000,0.5000,0.6667
Ex 283,1.0000,1.0000,1.0000,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 284,0.2500,0.2500,0.2500,0.2000,0.3333,0.2500,0.0000,0.0000,0.0000
Ex 285,0.3333,0.3333,0.3333,0.6667,0.5000,0.5714,0.0000,0.0000,0.0000
Ex 286,1.0000,1.0000,1.0000,0.8571,0.8000,0.8276,1.0000,0.6667,0.8000
Ex 287,0.2500,0.2000,0.2222,0.7500,0.6000,0.6667,0.0000,0.0000,0.0000
Ex 288,0.2500,0.2000,0.2222,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
Ex 289,0.6000,1.0000,0.7500,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,0.8571,0.6667,0.7500,0.0000,0.0000,0.0000
Ex 291,0.6000,0.7500,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 292,0.4000,0.6667,0.5000,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000
Ex 293,0.2500,0.2500,0.2500,0.6000,0.6000,0.6000,0.0000,0.0000,0.0000
Ex 294,1.0000,1.0000,1.0000,0.9412,0.8000,0.8649,1.0000,0.3333,0.5000
Ex 295,0.7500,1.0000,0.8571,0.8667,0.8125,0.8387,0.0000,0.0000,0.0000
Ex 296,0.5000,0.5000,0.5000,1.0000,0.7143,0.8333,0.0000,0.0000,0.0000
Ex 297,0.5000,0.6000,0.5455,0.4444,0.5000,0.4706,1.0000,0.2500,0.4000
Ex 298,0.7500,1.0000,0.8571,0.9000,0.6923,0.7826,1.0000,1.0000,1.0000
Ex 299,1.0000,1.0000,1.0000,0.9167,0.8148,0.8627,1.0000,0.5000,0.6667
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.6000,0.7500,0.6667,0.3478,0.4211,0.3810,1.0000,0.3333,0.5000
Ex 302,0.7143,1.0000,0.8333,0.8125,0.8125,0.8125,1.0000,0.7500,0.8571
Ex 303,0.8571,1.0000,0.9231,0.8276,0.7273,0.7742,1.0000,0.2000,0.3333
Ex 304,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 305,0.7500,0.7500,0.7500,0.8125,0.8667,0.8387,0.6667,0.6667,0.6667
Ex 306,0.7500,0.5455,0.6316,0.5152,0.5000,0.5075,1.0000,0.4286,0.6000
Ex 307,0.3333,0.3333,0.3333,0.5714,0.5714,0.5714,0.0000,0.0000,0.0000
Ex 308,0.7500,0.6000,0.6667,0.9375,0.8333,0.8824,1.0000,0.2000,0.3333
Ex 309,0.3333,0.4000,0.3636,0.9000,0.7500,0.8182,0.0000,0.0000,0.0000
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,0.0000,0.0000,0.0000
Ex 311,0.5000,1.0000,0.6667,1.0000,0.9412,0.9697,1.0000,0.6667,0.8000
Ex 312,1.0000,1.0000,1.0000,0.8571,0.6667,0.7500,1.0000,0.5000,0.6667
Ex 313,0.6250,0.7143,0.6667,0.6875,0.7333,0.7097,1.0000,0.3333,0.5000
Ex 314,0.7500,0.7500,0.7500,0.7692,0.8333,0.8000,1.0000,0.2000,0.3333
Ex 315,0.3333,0.2500,0.2857,0.5714,0.5714,0.5714,0.0000,0.0000,0.0000
Ex 316,0.6667,0.8000,0.7273,0.6087,0.9333,0.7368,1.0000,0.2500,0.4000
Ex 317,0.3333,0.5000,0.4000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
Ex 318,0.6000,1.0000,0.7500,1.0000,0.7500,0.8571,1.0000,0.5000,0.6667
Ex 319,1.0000,1.0000,1.0000,0.8571,0.6000,0.7059,1.0000,1.0000,1.0000
Ex 320,0.8333,1.0000,0.9091,0.9500,0.7917,0.8636,1.0000,0.2500,0.4000
Ex 321,0.0588,0.2000,0.0909,0.4444,0.6667,0.5333,0.0000,0.0000,0.0000
Ex 322,1.0000,0.7143,0.8333,0.8421,0.7619,0.8000,1.0000,0.2857,0.4444
Ex 323,0.6667,0.6667,0.6667,1.0000,0.5000,0.6667,0.0000,0.0000,0.0000
Ex 324,0.1250,0.5000,0.2000,0.5000,0.7500,0.6000,0.0000,0.0000,0.0000
Ex 325,0.5000,1.0000,0.6667,0.7500,0.8571,0.8000,0.0000,0.0000,0.0000
Ex 326,0.6667,0.6667,0.6667,0.8462,0.6875,0.7586,0.0000,0.0000,0.0000
Ex 327,1.0000,1.0000,1.0000,0.8235,0.6364,0.7179,1.0000,0.2500,0.4000
Ex 328,0.6667,0.6667,0.6667,0.7143,0.7812,0.7463,1.0000,0.5000,0.6667
Ex 329,0.5000,0.7500,0.6000,0.8333,0.9091,0.8696,1.0000,0.3333,0.5000
Ex 330,1.0000,0.8000,0.8889,0.6667,0.5000,0.5714,0.6667,0.5000,0.5714
Ex 331,0.7500,0.7500,0.7500,0.4762,0.6250,0.5405,0.0000,0.0000,0.0000
Ex 332,0.8333,0.7143,0.7692,1.0000,0.4444,0.6154,0.5000,0.1429,0.2222
Ex 333,0.4000,0.3333,0.3636,0.9000,0.4286,0.5806,1.0000,0.1429,0.2500
Ex 334,1.0000,1.0000,1.0000,0.9231,0.8000,0.8571,1.0000,0.6667,0.8000
Ex 335,0.4000,1.0000,0.5714,0.8000,0.6667,0.7273,1.0000,1.0000,1.0000
Ex 336,1.0000,1.0000,1.0000,0.9394,0.9394,0.9394,1.0000,0.7500,0.8571
Ex 337,0.8000,0.8000,0.8000,0.9091,0.7692,0.8333,1.0000,0.2000,0.3333
Ex 338,0.5556,1.0000,0.7143,0.8667,0.8387,0.8525,1.0000,0.6000,0.7500
Ex 339,0.5000,0.6667,0.5714,0.4444,0.5714,0.5000,0.0000,0.0000,0.0000
Ex 340,1.0000,0.5556,0.7143,0.5217,0.7500,0.6154,0.3333,0.1250,0.1818
Ex 341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 342,1.0000,1.0000,1.0000,0.7500,0.6000,0.6667,1.0000,1.0000,1.0000
Ex 343,0.5000,0.6000,0.5455,0.7778,0.5385,0.6364,1.0000,0.2500,0.4000
Ex 344,0.5455,0.7500,0.6316,0.5385,0.5185,0.5283,1.0000,0.2500,0.4000
Ex 345,0.8750,0.8750,0.8750,0.5484,0.7391,0.6296,0.8000,0.5714,0.6667
Ex 346,0.3333,1.0000,0.5000,0.2727,0.2727,0.2727,1.0000,1.0000,1.0000
Ex 347,0.6000,0.5000,0.5455,0.5143,0.6000,0.5538,1.0000,0.0909,0.1667
Ex 348,0.4000,1.0000,0.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 349,0.5000,0.6667,0.5714,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
Ex 350,0.5833,1.0000,0.7368,0.9062,0.7436,0.8169,1.0000,0.4000,0.5714
Ex 351,0.6250,1.0000,0.7692,0.5385,0.5833,0.5600,0.5000,0.2000,0.2857
Ex 352,1.0000,1.0000,1.0000,0.7917,0.7308,0.7600,1.0000,0.5000,0.6667
Ex 353,0.4286,0.6000,0.5000,0.5000,0.6250,0.5556,0.0000,0.0000,0.0000
Ex 354,0.5000,0.6667,0.5714,0.5714,0.5714,0.5714,0.0000,0.0000,0.0000
Ex 355,0.6000,0.6000,0.6000,0.7778,0.7000,0.7368,0.0000,0.0000,0.0000
Ex 356,0.2500,0.5000,0.3333,0.8000,0.8000,0.8000,0.0000,0.0000,0.0000
Ex 357,0.3750,0.4286,0.4000,0.7647,0.7222,0.7429,1.0000,0.1667,0.2857
Ex 358,0.1667,1.0000,0.2857,0.4000,0.2000,0.2667,0.0000,0.0000,0.0000
Ex 359,1.0000,1.0000,1.0000,0.7368,0.8750,0.8000,1.0000,0.6667,0.8000
Ex 360,0.3333,0.6667,0.4444,0.4615,0.5455,0.5000,0.0000,0.0000,0.0000
Ex 361,0.5000,0.7500,0.6000,0.5000,0.7368,0.5957,0.5000,0.5000,0.5000
Ex 362,1.0000,1.0000,1.0000,0.7368,0.7368,0.7368,1.0000,0.6667,0.8000
Ex 363,0.2500,0.5000,0.3333,0.8421,0.7619,0.8000,0.0000,0.0000,0.0000
Ex 364,0.8000,1.0000,0.8889,0.8462,0.8462,0.8462,1.0000,1.0000,1.0000
Ex 365,1.0000,1.0000,1.0000,1.0000,0.8333,0.9091,1.0000,1.0000,1.0000
Ex 366,1.0000,1.0000,1.0000,0.8667,0.7647,0.8125,1.0000,1.0000,1.0000
Ex 367,0.7500,1.0000,0.8571,1.0000,0.8421,0.9143,1.0000,1.0000,1.0000
Ex 368,0.8333,0.6250,0.7143,0.6471,0.6111,0.6286,1.0000,0.3333,0.5000
Ex 369,0.2727,0.7500,0.4000,0.4762,0.6250,0.5405,0.0000,0.0000,0.0000
Ex 370,0.5000,0.6000,0.5455,0.7273,0.6667,0.6957,1.0000,0.4000,0.5714
Ex 371,0.8000,1.0000,0.8889,0.7000,0.6774,0.6885,1.0000,0.6667,0.8000
Ex 372,1.0000,0.4286,0.6000,0.4615,0.5000,0.4800,0.0000,0.0000,0.0000
Ex 373,0.3846,0.7143,0.5000,0.1667,0.0400,0.0645,0.5000,0.1429,0.2222
Ex 374,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,1.0000,0.8333,0.9091
Ex 375,1.0000,1.0000,1.0000,0.7561,0.8378,0.7949,1.0000,0.8333,0.9091
Ex 376,1.0000,0.5833,0.7368,0.7826,0.7500,0.7660,0.0000,0.0000,0.0000
Ex 377,1.0000,1.0000,1.0000,0.8000,0.5714,0.6667,1.0000,1.0000,1.0000
Ex 378,0.5000,0.4000,0.4444,0.4286,0.4286,0.4286,1.0000,0.1667,0.2857
Ex 379,0.6667,0.4000,0.5000,0.8667,0.8125,0.8387,0.0000,0.0000,0.0000
Ex 380,1.0000,1.0000,1.0000,0.9412,0.8889,0.9143,1.0000,0.6667,0.8000
Ex 381,1.0000,1.0000,1.0000,0.5000,0.7000,0.5833,1.0000,0.5000,0.6667
Ex 382,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000,1.0000,0.3333,0.5000
Ex 383,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 384,0.6000,0.5000,0.5455,0.8125,0.7647,0.7879,1.0000,0.1667,0.2857
Ex 385,0.4000,0.6667,0.5000,0.8750,0.7778,0.8235,1.0000,0.3333,0.5000
Ex 387,0.8333,1.0000,0.9091,1.0000,0.8333,0.9091,1.0000,0.7500,0.8571
Ex 388,0.8333,0.7143,0.7692,0.6296,0.7727,0.6939,1.0000,0.5000,0.6667
Ex 389,0.6000,0.7500,0.6667,1.0000,0.8125,0.8966,1.0000,0.3333,0.5000
Ex 390,0.6667,0.8000,0.7273,0.6667,0.7143,0.6897,0.0000,0.0000,0.0000
Ex 391,0.7500,1.0000,0.8571,0.7059,0.8000,0.7500,0.0000,0.0000,0.0000
Ex 392,0.5000,0.7500,0.6000,0.6087,0.7778,0.6829,1.0000,0.5000,0.6667
Ex 393,0.7143,1.0000,0.8333,0.4783,0.6875,0.5641,1.0000,0.5000,0.6667
Ex 394,0.7500,0.7500,0.7500,0.8889,0.8421,0.8649,1.0000,0.5000,0.6667
Ex 395,0.4000,0.6667,0.5000,0.6000,0.8571,0.7059,0.0000,0.0000,0.0000
Ex 396,0.6000,0.4286,0.5000,0.7500,1.0000,0.8571,0.0000,0.0000,0.0000
Ex 397,0.3636,1.0000,0.5333,0.5455,0.3333,0.4138,1.0000,0.6667,0.8000
Ex 398,0.7500,1.0000,0.8571,0.8235,0.7778,0.8000,1.0000,0.2500,0.4000
Ex 399,0.6667,0.6667,0.6667,0.9500,0.9048,0.9268,0.6667,0.3333,0.4444
Ex 400,0.4000,0.6667,0.5000,0.8000,0.7619,0.7805,1.0000,0.2000,0.3333
Ex 401,0.8000,1.0000,0.8889,1.0000,0.8148,0.8980,1.0000,0.4000,0.5714
Ex 402,0.8750,0.7778,0.8235,0.8519,0.7188,0.7797,0.0000,0.0000,0.0000
Ex 403,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000,1.0000,0.1667,0.2857
Ex 404,0.6667,0.8000,0.7273,0.8824,0.7500,0.8108,1.0000,0.2500,0.4000
Ex 405,0.8333,0.6250,0.7143,0.8824,0.6818,0.7692,1.0000,0.1250,0.2222
Ex 406,0.7727,0.9444,0.8500,0.8030,0.7681,0.7852,0.5000,0.3333,0.4000
Ex 407,1.0000,1.0000,1.0000,0.7273,0.6154,0.6667,0.0000,0.0000,0.0000
Ex 408,1.0000,1.0000,1.0000,1.0000,0.8000,0.8889,1.0000,0.5000,0.6667
Ex 409,1.0000,0.8333,0.9091,0.6667,0.7368,0.7000,1.0000,0.6667,0.8000
Ex 410,0.6250,0.6250,0.6250,1.0000,1.0000,1.0000,1.0000,0.3333,0.5000
Ex 411,0.2000,0.6667,0.3077,0.8571,0.7059,0.7742,0.0000,0.0000,0.0000
Ex 412,0.6000,0.7500,0.6667,0.8889,0.6154,0.7273,1.0000,0.3333,0.5000
Ex 413,0.7500,0.7500,0.7500,0.5625,0.5625,0.5625,0.5000,0.3333,0.4000
Ex 414,0.8571,1.0000,0.9231,0.8889,0.6154,0.7273,1.0000,0.6667,0.8000
Ex 415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 416,0.8571,0.6000,0.7059,0.8462,0.7586,0.8000,1.0000,0.1538,0.2667
Ex 417,1.0000,0.6250,0.7692,0.7333,0.8462,0.7857,0.6667,0.2500,0.3636
Ex 418,0.8000,1.0000,0.8889,0.9615,0.8621,0.9091,1.0000,1.0000,1.0000
Ex 419,0.5556,1.0000,0.7143,0.6970,0.6970,0.6970,0.6667,0.5000,0.5714
Ex 420,0.8000,0.6667,0.7273,0.8727,0.9057,0.8889,1.0000,0.4000,0.5714
Ex 421,1.0000,1.0000,1.0000,0.5357,0.5769,0.5556,1.0000,1.0000,1.0000
Ex 422,1.0000,1.0000,1.0000,0.9375,0.9375,0.9375,0.7500,0.7500,0.7500
Ex 423,0.7500,0.8571,0.8000,0.6667,0.6829,0.6747,0.0000,0.0000,0.0000
Ex 424,0.6667,1.0000,0.8000,0.8148,0.7333,0.7719,1.0000,0.7500,0.8571
Ex 425,1.0000,1.0000,1.0000,0.8205,0.8000,0.8101,0.7143,0.7143,0.7143
Ex 426,0.5714,0.8000,0.6667,0.6500,0.8125,0.7222,1.0000,0.3333,0.5000
Ex 427,0.6250,0.8333,0.7143,0.6552,0.7037,0.6786,0.6667,0.3333,0.4444
Ex 428,0.5000,0.8000,0.6154,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 429,0.5714,1.0000,0.7273,0.8421,1.0000,0.9143,1.0000,0.6667,0.8000
Ex 430,0.5000,0.5000,0.5000,0.8182,0.7200,0.7660,1.0000,0.1429,0.2500
Ex 431,0.5714,0.6667,0.6154,0.4783,0.6471,0.5500,0.0000,0.0000,0.0000
Ex 432,0.8333,1.0000,0.9091,0.7273,0.6667,0.6957,1.0000,0.6667,0.8000
Ex 433,0.5000,0.7500,0.6000,0.9444,0.8500,0.8947,1.0000,0.2500,0.4000
Ex 434,0.8000,0.8000,0.8000,0.8421,0.7273,0.7805,0.0000,0.0000,0.0000
Ex 435,1.0000,0.8333,0.9091,0.7647,0.7879,0.7761,0.4000,0.4000,0.4000
Ex 436,0.6250,0.5556,0.5882,0.3871,0.3529,0.3692,0.0000,0.0000,0.0000
Ex 437,1.0000,1.0000,1.0000,0.7600,0.7600,0.7600,1.0000,0.3333,0.5000
Ex 438,1.0000,0.6667,0.8000,0.8333,0.7143,0.7692,1.0000,0.2000,0.3333
Ex 439,0.4444,0.8000,0.5714,0.4286,0.3529,0.3871,1.0000,0.2500,0.4000
Ex 440,0.2222,0.3333,0.2667,0.5714,0.6667,0.6154,0.0000,0.0000,0.0000
Ex 441,0.5000,1.0000,0.6667,0.5000,0.6154,0.5517,0.5000,0.5000,0.5000
Ex 442,0.6667,0.5714,0.6154,0.6667,0.6957,0.6809,0.0000,0.0000,0.0000
Ex 443,0.2500,0.2857,0.2667,0.3077,0.1905,0.2353,0.0000,0.0000,0.0000
Ex 444,0.8000,0.8000,0.8000,0.9000,0.8182,0.8571,0.0000,0.0000,0.0000
Ex 445,0.5385,0.5385,0.5385,0.5862,0.4857,0.5312,1.0000,0.1667,0.2857
Ex 446,0.6250,0.5556,0.5882,0.6400,0.5517,0.5926,0.0000,0.0000,0.0000
Ex 447,0.5714,0.8000,0.6667,0.6875,0.7586,0.7213,1.0000,0.5000,0.6667
Ex 448,0.4000,0.6667,0.5000,0.7778,0.6774,0.7241,1.0000,0.2222,0.3636
Ex 449,1.0000,0.8333,0.9091,0.6538,0.6071,0.6296,0.7500,0.6000,0.6667
Ex 450,0.8333,1.0000,0.9091,0.5909,0.5652,0.5778,1.0000,0.6667,0.8000
Ex 451,0.6000,0.6000,0.6000,0.9444,0.8500,0.8947,1.0000,0.2500,0.4000
Ex 452,0.7500,1.0000,0.8571,0.5455,0.5217,0.5333,1.0000,1.0000,1.0000
Ex 453,0.5000,0.6667,0.5714,0.6250,0.5000,0.5556,1.0000,0.5000,0.6667
Ex 454,0.7143,0.7143,0.7143,0.4211,0.4444,0.4324,0.0000,0.0000,0.0000
Ex 455,0.6667,1.0000,0.8000,0.5000,0.3636,0.4211,0.0000,0.0000,0.0000
Ex 456,0.5000,0.8571,0.6316,0.8696,0.7692,0.8163,1.0000,0.1667,0.2857
Ex 457,0.8750,1.0000,0.9333,0.9600,0.8571,0.9057,1.0000,0.3333,0.5000
Ex 458,1.0000,0.8000,0.8889,0.8800,0.9565,0.9167,1.0000,0.5000,0.6667
Ex 459,1.0000,1.0000,1.0000,0.6667,0.6250,0.6452,1.0000,1.0000,1.0000
Ex 460,0.4000,0.6667,0.5000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000
Ex 461,1.0000,0.6667,0.8000,0.8077,0.8400,0.8235,1.0000,0.2000,0.3333
Ex 462,1.0000,0.7500,0.8571,0.8095,0.8095,0.8095,1.0000,0.3333,0.5000
Ex 463,0.7500,1.0000,0.8571,0.8571,0.6316,0.7273,1.0000,1.0000,1.0000
Ex 464,0.7500,0.7500,0.7500,1.0000,0.9231,0.9600,1.0000,0.4000,0.5714
Ex 465,0.7500,1.0000,0.8571,0.7333,0.6875,0.7097,1.0000,0.5000,0.6667
Ex 466,0.7500,0.7500,0.7500,0.9333,0.9333,0.9333,1.0000,0.5000,0.6667
Ex 467,1.0000,0.7778,0.8750,0.8214,0.9200,0.8679,1.0000,0.3333,0.5000
Ex 468,0.7500,1.0000,0.8571,0.4375,0.3333,0.3784,0.5000,0.5000,0.5000
Ex 469,0.7143,1.0000,0.8333,0.8571,0.6923,0.7660,1.0000,0.5000,0.6667
Ex 470,0.8571,0.8571,0.8571,0.0000,0.0000,0.0000,1.0000,0.1429,0.2500
Ex 471,0.7500,1.0000,0.8571,0.7500,0.7059,0.7273,0.0000,0.0000,0.0000
Ex 472,0.4000,0.6667,0.5000,0.6250,0.5000,0.5556,0.0000,0.0000,0.0000
Ex 473,1.0000,1.0000,1.0000,0.9524,0.9091,0.9302,1.0000,0.5000,0.6667
Ex 474,0.4286,0.7500,0.5455,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 475,1.0000,0.8000,0.8889,0.7895,0.7500,0.7692,1.0000,0.5000,0.6667
Ex 476,0.8333,0.9091,0.8696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 477,0.3333,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 478,1.0000,1.0000,1.0000,0.7826,0.7500,0.7660,1.0000,0.4000,0.5714
Ex 479,0.3750,1.0000,0.5455,0.6923,0.5294,0.6000,1.0000,0.6667,0.8000
Ex 480,0.6000,1.0000,0.7500,0.8421,0.9412,0.8889,0.0000,0.0000,0.0000
Ex 481,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 482,0.7143,1.0000,0.8333,0.7083,0.6538,0.6800,1.0000,0.5000,0.6667
Ex 483,1.0000,0.8000,0.8889,0.8571,0.7500,0.8000,0.0000,0.0000,0.0000
Ex 484,0.6000,0.6000,0.6000,1.0000,0.7273,0.8421,0.0000,0.0000,0.0000
Ex 485,0.2000,0.1667,0.1818,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 486,0.4000,0.6667,0.5000,1.0000,0.5556,0.7143,1.0000,0.3333,0.5000
Ex 487,0.4000,1.0000,0.5714,0.2000,0.2308,0.2143,1.0000,1.0000,1.0000
Ex 488,0.5000,0.7500,0.6000,0.7857,0.5238,0.6286,0.5000,0.3333,0.4000
Ex 489,0.2000,0.2500,0.2222,1.0000,0.5000,0.6667,0.0000,0.0000,0.0000
Ex 490,0.6250,0.7143,0.6667,0.8387,0.7879,0.8125,0.6667,0.2857,0.4000
Ex 491,0.5714,0.8000,0.6667,0.6429,0.6000,0.6207,1.0000,1.0000,1.0000
Ex 492,1.0000,1.0000,1.0000,0.4444,0.3636,0.4000,1.0000,1.0000,1.0000
Ex 493,1.0000,1.0000,1.0000,0.7778,0.8400,0.8077,1.0000,0.5000,0.6667
Ex 494,0.8000,0.8000,0.8000,0.8667,0.8667,0.8667,0.3333,0.2000,0.2500
Ex 495,0.8571,0.8571,0.8571,0.0000,0.0000,0.0000,1.0000,0.1667,0.2857
Ex 496,0.6000,0.7500,0.6667,0.6944,0.8621,0.7692,1.0000,0.2500,0.4000
Ex 497,0.6000,1.0000,0.7500,0.9091,0.6667,0.7692,1.0000,0.5000,0.6667
Ex 498,0.3333,0.6000,0.4286,0.9000,0.6429,0.7500,0.0000,0.0000,0.0000
Ex 499,0.6667,0.8000,0.7273,1.0000,0.5789,0.7333,1.0000,0.5000,0.6667
Ex 500,0.8333,0.8333,0.8333,1.0000,0.7647,0.8667,1.0000,0.2000,0.3333
AVERAGE,0.6675,0.7739,0.6988,0.6927,0.6453,0.6605,0.6228,0.3325,0.407
